iter	Passed	Remaining
0	1	120
1	2	106
2	3	99
3	3	93
4	4	93
5	5	91
6	7	95
7	8	96
8	9	97
9	11	103
10	13	107
11	15	114
12	16	110
13	17	106
14	17	101
15	18	98
16	19	97
17	22	102
18	24	102
19	24	99
20	25	96
21	26	94
22	27	91
23	28	90
24	30	91
25	31	89
26	32	88
27	34	88
28	35	86
29	35	83
30	36	81
31	37	79
32	38	77
33	38	75
34	39	73
35	40	71
36	41	69
37	41	68
38	42	66
39	43	64
40	43	62
41	43	60
42	44	59
43	45	57
44	46	56
45	46	55
46	47	53
47	48	52
48	48	50
49	49	49
50	50	48
51	50	46
52	51	45
53	52	44
54	52	42
55	53	41
56	54	40
57	54	39
58	55	38
59	56	37
60	57	36
61	57	35
62	58	34
63	59	33
64	59	32
65	60	31
66	61	30
67	62	29
68	62	28
69	63	27
70	64	26
71	65	25
72	65	24
73	66	23
74	67	22
75	67	21
76	68	20
77	69	19
78	70	18
79	70	17
80	71	16
81	72	15
82	72	14
83	73	14
84	74	13
85	75	12
86	75	11
87	76	10
88	77	9
89	78	8
90	78	7
91	79	6
92	80	6
93	80	5
94	81	4
95	82	3
96	83	2
97	84	1
98	84	0
99	85	0
